URL,Label
http://www.authsbase.live/,phishing
https://newsweek.com,legitimate
http://www.americanexpressempresas.com/,phishing
http://mail.linkbntuan-danaid.duckdns.org/,phishing
https://www.extremas.com.ar/dir/fr/am/3dsece.php,phishing
https://cookiedatabase.org,legitimate
http://supports-yours-pages.com/,phishing
https://pub-769cdd6f40174a9dafbc4dc10d1d55f1.r2.dev/index.html,phishing
http://autoreplyattmode.wixsite.com/my-site-1/,phishing
https://twitch.tv,legitimate
https://pub-506f5f001cc548ea8d8f4efe90c4c9ee.r2.dev/index.html,phishing
http://weltgram.xys70.cc/,phishing
http://mehtamasj-llofign.godaddysites.com/,phishing
http://openconnect.netflix.com.first.cilukba.us.kg/,phishing
http://www.spotifyplaybackspeed.com/,phishing
https://skype.com,legitimate
https://muaaweyahkp.github.io/fb-signup-bs5/,phishing
https://cba-verify-identity.com/,phishing
http://makaansearch.com/1at0/ATO/otp2.html,phishing
https://wandulct.eventsinindonesia.com/re.php,phishing
https://zoom.us,legitimate
https://linktr.ee,legitimate
https://translate.google.com,legitimate
https://deviantart.com,legitimate
http://npca.netflix.com.id1.karasantan.web.id/,phishing
https://joujiyeuhoprou-9952.vercel.app/vux.hovek/,phishing
https://clickbank-pro.web.app/,phishing
http://site-audit-fedex-reo.pantheonsite.io/,phishing
http://steancommnunity.com/847302df7fcbec6aec54dacd5bbcb51a/c3RlYW1jb25tdW1pdHkuY29t/aHR0cDovL3N0ZWFuY29tbW51bml0eS5jb20vZ2lmdC9hY3RpdmF0aW9uL2lkPTE1NjExNDMzMDU=,phishing
https://mohammedsalihv.github.io/netflix/,phishing
https://sagepub.com,legitimate
http://feji.us/marketplace-supporthelp909,phishing
https://economist.com,legitimate
http://signinattcomdynamiciamlrrlrrcontrolleo.weebly.com/,phishing
https://aol.com,legitimate
http://autoteh-samara.ru/russkom-izmena/3621-izmeny-russkih-nevest-na-svadbe-119-foto.html,phishing
http://website-c67c0f24.rwk.liz.temporary.site/infra/infospage.php,phishing
https://cba-verify-identity.com/,phishing
https://bing.com,legitimate
http://idorangefr1.weebly.com/,phishing
https://thelancet.com,legitimate
http://lpeqemxeprfh.top/login,phishing
https://koikenlgein.godaddysites.com/,phishing
http://luk6414.wixsite.com/my-site/,phishing
https://ll33b1.weeblysite.com/,phishing
http://pub-96d3671f4c4f418ba1c02f5598ed7b51.r2.dev/index2HiC.htm,phishing
https://96037586365.com:9900/,phishing
http://latamblackfriday.vercel.app/,phishing
https://receber-ind.com/,phishing
https://akismet.com,legitimate
https://nationalgeographic.com,legitimate
http://sbcglobmakikcyd.weebly.com/,phishing
https://slideshare.net,legitimate
https://ipfs.io/ipfs/bafybeie4vqg5ex5ndtagqwch6wnuabe6wfp7rloguddwmxoz7btq3uz3o4/fill.html,phishing
https://claim-free-verified-badge.vercel.app/,phishing
https://mint-openseas2x.vercel.app/,phishing
https://croxihollabri-9778.vercel.app/ruu.html/hwkls.html,phishing
https://makaansearch.com/1at0/ATO/index2.html,phishing
https://maskmethelogeysinn34.godaddysites.com/,phishing
https://wiktionary.org,legitimate
http://ibjlwkiyatit.top/,phishing
http://meuthmasklogin.gitbook.io/,phishing
https://dev-support-live365blog.pantheonsite.io/,phishing
https://weebly.com,legitimate
https://inc.com,legitimate
https://ebay.com,legitimate
http://monetization-violation.github.io/violatoin-help/,phishing
https://teleegam.art/,phishing
